id,status,engine,model,priority,rationale
FIS-OTT-RFL-001,planned,ray_optics,total_internal_reflection,P0,Angolo di incidenza e indici di rifrazione possono mostrare direttamente la soglia di riflessione totale.
FIS-OTT-RIF-001,planned,ray_optics,single_interface_refraction,P1,Indice e velocità della luce possono essere collegati nello stesso modello di mezzo trasparente.
FIS-OTT-RIF-002,planned,ray_optics,snell_refraction,P0,Un raggio manipolabile rende immediata la legge di Snell e il calcolo della velocità nel mezzo.
FIS-OTT-RIF-003,planned,ray_optics,parallel_slab,P0,Una lastra a facce parallele permette di vedere rifrazione e spostamento laterale.
FIS-OTT-SPE-001,planned,ray_optics,concave_mirror,P0,Diagramma dei raggi e posizione dell'immagine sono un caso classico ad alto valore didattico.
FIS-ROT-ANG-001,implemented,rotational_platform,textbook_reduced_system,P0,Simulazione già pubblicata e verificata.
FIS-ROT-ANG-002,implemented,rotational_platform,textbook_reduced_system,P0,"Seconda configurazione reale dello stesso motore, già pubblicata e verificata."
FIS-TER-CAL-001,planned,calorimetry,sensible_heat_compare,P1,Confrontare materiali a parità di calore rende visibile il ruolo del calore specifico.
FIS-TER-CAL-002,planned,calorimetry,heating_power,P1,"Potenza, tempo, massa e temperatura possono essere collegati in un bilancio energetico interattivo."
FIS-TER-DIL-001,planned,thermal_expansion,linear_expansion_hole,P3,Una semplice geometria espandibile chiarisce che anche il foro aumenta di dimensione.
FIS-TER-EQ-001,planned,calorimetry,thermal_mixing,P1,Masse e temperature iniziali possono convergere visivamente alla temperatura di equilibrio.
FIS-TER-EQ-002,planned,calorimetry,ice_water_balance,P1,"Il modello deve distinguere riscaldamento, fusione e successivo equilibrio termico."
FIS-TER-GAS-001,extension,ideal_gas_process,process_comparison,P1,"Il motore esistente può essere esteso a isocora, isobara e isoterma con grafici p-V coerenti."
FIS-TER-GAS-002,extension,ideal_gas_process,piecewise_isobaric_isothermal,P1,Richiede due trasformazioni consecutive nello stesso spazio di stato.
FIS-TER-GAS-003,implemented,ideal_gas_process,reversible_isothermal,P0,Pilot già pubblicato e verificato.
FIS-TER-GAS-004,extension,ideal_gas_process,thermodynamic_cycle,P2,Un ciclo chiuso nel piano p-V è una naturale estensione del motore termodinamico.
FIS-TER-GAS-005,extension,ideal_gas_process,isochoric_monoatomic,P1,"Il modello isocoro permette di collegare pressione, temperatura, calore ed energia interna."
FIS-TER-GAS-006,implemented,ideal_gas_process,reversible_isothermal,P0,"Seconda configurazione reale dello stesso motore, già pubblicata e verificata."
FIS-TER-MAC-001,planned,heat_engine,carnot_efficiency,P3,Un diagramma tra sorgente calda e fredda può rendere interattivo il limite di Carnot.
FIS-TER-PAS-001,planned,calorimetry,phase_change_balance,P1,Il bilancio tra raffreddamento/solidificazione e vaporizzazione è adatto a una timeline energetica.
FIS-URT-ANE-001,composite,piecewise_mechanics,inelastic_collision_then_spring,P2,Combina urto completamente anelastico e successiva conversione in energia elastica; va orchestrato come due fasi esplicite.
FIS-URT-ANE-002,composite,piecewise_mechanics,inclined_motion_then_inelastic_collision,P3,Combina dinamica con attrito su piano inclinato e urto anelastico; dipende da più modelli.
FIS-URT-COM-001,implemented,one_dimensional_collision,elastic_1d,P0,Pilot già pubblicato e verificato.
FIS-URT-ELA-001,extension,one_dimensional_collision,elastic_1d_sequence,P1,È un naturale ampliamento del motore esistente verso più corpi e urti successivi.
FIS-URT-QDM-001,planned,momentum_system,recoil_sequence,P2,"Sequenze di lanci e rinculo richiedono uno stato discreto del sistema, non un urto singolo."
